rank,bioregion_code,bioregion_name,area_km2,protected_pct,gap_to_target_pp,highlight,cx,cy
0,COS,Coral Sea,171.7,0.0,-17.0,False,28.0,28.0
1,SAI,Subantarctic Islands,491.6,0.0,-17.0,False,76.5,28.0
2,STU,Sturt Plateau,98575.3,0.7,-16.3,True,124.99,28.0
3,MGD,Mitchell Grass Downs,334687.6,1.56,-15.44,False,173.49,28.0
4,DMR,Davenport Murchison Ranges,58051.1,2.24,-14.76,False,221.99,28.0
5,SVP,Southern Volcanic Plain,24403.4,2.29,-14.71,False,270.49,28.0
6,BBN,Brigalow Belt North,136745.3,2.41,-14.59,False,318.98,28.0
7,DRP,Darling Riverine Plains,106997.7,3.04,-13.96,False,367.48,28.0
8,COP,Cobar Peneplain,73853.5,3.26,-13.74,False,415.98,28.0
9,NSS,NSW South Western Slopes,86810.9,3.34,-13.66,False,464.48,28.0
10,DEU,Desert Uplands,69411.0,3.37,-13.63,False,512.97,28.0
11,AVW,Avon Wheatbelt,95171.0,4.47,-12.53,False,561.47,28.0
12,NAN,Nandewar,27019.6,4.59,-12.41,False,52.25,70.0
13,FIN,Finke,72674.2,4.6,-12.4,False,100.75,70.0
14,MUL,Mulga Lands,251883.3,4.97,-12.03,False,149.24,70.0
15,BBS,Brigalow Belt South,272199.0,5.52,-11.48,False,197.74,70.0
16,BHC,Broken Hill Complex,56354.2,5.82,-11.18,False,246.24,70.0
17,MII,Mount Isa Inlier,67782.6,6.45,-10.55,False,294.74,70.0
18,RIV,Riverina,97045.0,6.47,-10.53,False,343.23,70.0
19,BRT,Burt Plain,73797.2,6.68,-10.32,False,391.73,70.0
20,TNM,Tasmanian Northern Midlands,4154.4,6.74,-10.26,False,440.23,70.0
21,MUR,Murchison,281205.5,7.0,-10.0,False,488.73,70.0
22,GUP,Gulf Plains,220418.3,7.46,-9.54,False,537.22,70.0
23,EIU,Einasleigh Uplands,116257.3,8.06,-8.94,False,585.72,70.0
24,PIL,Pilbara,178231.3,8.78,-8.22,False,28.0,112.0
25,STP,Stony Plains,131663.7,8.93,-8.07,False,76.5,112.0
26,FLB,Flinders Lofty Block,66157.7,9.11,-7.89,False,124.99,112.0
27,SCP,South East Coastal Plain,17492.4,9.29,-7.71,False,173.49,112.0
28,NCP,Naracoorte Coastal Plain,24582.1,9.67,-7.33,False,221.99,112.0
29,DAB,Daly Basin,20922.3,10.47,-6.53,False,270.49,112.0
30,NET,New England Tablelands,30022.3,10.73,-6.27,False,318.98,112.0
31,CHC,Channel Country,304094.4,11.04,-5.96,False,367.48,112.0
32,SWA,Swan Coastal Plain,15258.0,11.56,-5.44,False,415.98,112.0
33,VIM,Victorian Midlands,34697.9,11.64,-5.36,False,464.48,112.0
34,OVP,Ord Victoria Plain,125407.0,11.86,-5.14,False,512.97,112.0
35,CAR,Carnarvon,84301.7,14.6,-2.4,False,561.47,112.0
36,HAM,Hampton,10882.0,14.64,-2.36,False,52.25,154.0
37,MAC,MacDonnell Ranges,39294.4,14.75,-2.25,False,100.75,154.0
38,DAL,Dampierland,83608.7,14.8,-2.2,False,149.24,154.0
39,SEQ,South Eastern Queensland,78049.2,14.81,-2.19,False,197.74,154.0
40,JAF,Jarrah Forest,45090.7,14.95,-2.05,False,246.24,154.0
41,CMC,Central Mackay Coast,14642.1,15.0,-2.0,False,294.74,154.0
42,EYB,Eyre Yorke Block,61204.1,15.17,-1.83,False,343.23,154.0
43,TSE,Tasmanian South East,11069.3,15.92,-1.08,False,391.73,154.0
44,GAS,Gascoyne,180752.6,16.09,-0.91,False,440.23,154.0
