rank,bioregion_code,bioregion_name,area_km2,protected_pct,gap_to_target_pp,vertex_order,vx,vy,highlight
0,COS,Coral Sea,171.7,0.0,-17.0,0,28.0,0.0,False
0,COS,Coral Sea,171.7,0.0,-17.0,1,52.25,14.0,False
0,COS,Coral Sea,171.7,0.0,-17.0,2,52.25,42.0,False
0,COS,Coral Sea,171.7,0.0,-17.0,3,28.0,56.0,False
0,COS,Coral Sea,171.7,0.0,-17.0,4,3.75,42.0,False
0,COS,Coral Sea,171.7,0.0,-17.0,5,3.75,14.0,False
1,SAI,Subantarctic Islands,491.6,0.0,-17.0,0,76.5,0.0,False
1,SAI,Subantarctic Islands,491.6,0.0,-17.0,1,100.75,14.0,False
1,SAI,Subantarctic Islands,491.6,0.0,-17.0,2,100.75,42.0,False
1,SAI,Subantarctic Islands,491.6,0.0,-17.0,3,76.5,56.0,False
1,SAI,Subantarctic Islands,491.6,0.0,-17.0,4,52.25,42.0,False
1,SAI,Subantarctic Islands,491.6,0.0,-17.0,5,52.25,14.0,False
2,STU,Sturt Plateau,98575.3,0.7,-16.3,0,124.99,0.0,True
2,STU,Sturt Plateau,98575.3,0.7,-16.3,1,149.24,14.0,True
2,STU,Sturt Plateau,98575.3,0.7,-16.3,2,149.24,42.0,True
2,STU,Sturt Plateau,98575.3,0.7,-16.3,3,124.99,56.0,True
2,STU,Sturt Plateau,98575.3,0.7,-16.3,4,100.75,42.0,True
2,STU,Sturt Plateau,98575.3,0.7,-16.3,5,100.75,14.0,True
3,MGD,Mitchell Grass Downs,334687.6,1.56,-15.44,0,173.49,0.0,False
3,MGD,Mitchell Grass Downs,334687.6,1.56,-15.44,1,197.74,14.0,False
3,MGD,Mitchell Grass Downs,334687.6,1.56,-15.44,2,197.74,42.0,False
3,MGD,Mitchell Grass Downs,334687.6,1.56,-15.44,3,173.49,56.0,False
3,MGD,Mitchell Grass Downs,334687.6,1.56,-15.44,4,149.24,42.0,False
3,MGD,Mitchell Grass Downs,334687.6,1.56,-15.44,5,149.24,14.0,False
4,DMR,Davenport Murchison Ranges,58051.1,2.24,-14.76,0,221.99,0.0,False
4,DMR,Davenport Murchison Ranges,58051.1,2.24,-14.76,1,246.24,14.0,False
4,DMR,Davenport Murchison Ranges,58051.1,2.24,-14.76,2,246.24,42.0,False
4,DMR,Davenport Murchison Ranges,58051.1,2.24,-14.76,3,221.99,56.0,False
4,DMR,Davenport Murchison Ranges,58051.1,2.24,-14.76,4,197.74,42.0,False
4,DMR,Davenport Murchison Ranges,58051.1,2.24,-14.76,5,197.74,14.0,False
5,SVP,Southern Volcanic Plain,24403.4,2.29,-14.71,0,270.49,0.0,False
5,SVP,Southern Volcanic Plain,24403.4,2.29,-14.71,1,294.74,14.0,False
5,SVP,Southern Volcanic Plain,24403.4,2.29,-14.71,2,294.74,42.0,False
5,SVP,Southern Volcanic Plain,24403.4,2.29,-14.71,3,270.49,56.0,False
5,SVP,Southern Volcanic Plain,24403.4,2.29,-14.71,4,246.24,42.0,False
5,SVP,Southern Volcanic Plain,24403.4,2.29,-14.71,5,246.24,14.0,False
6,BBN,Brigalow Belt North,136745.3,2.41,-14.59,0,318.98,0.0,False
6,BBN,Brigalow Belt North,136745.3,2.41,-14.59,1,343.23,14.0,False
6,BBN,Brigalow Belt North,136745.3,2.41,-14.59,2,343.23,42.0,False
6,BBN,Brigalow Belt North,136745.3,2.41,-14.59,3,318.98,56.0,False
6,BBN,Brigalow Belt North,136745.3,2.41,-14.59,4,294.74,42.0,False
6,BBN,Brigalow Belt North,136745.3,2.41,-14.59,5,294.74,14.0,False
7,DRP,Darling Riverine Plains,106997.7,3.04,-13.96,0,367.48,0.0,False
7,DRP,Darling Riverine Plains,106997.7,3.04,-13.96,1,391.73,14.0,False
7,DRP,Darling Riverine Plains,106997.7,3.04,-13.96,2,391.73,42.0,False
7,DRP,Darling Riverine Plains,106997.7,3.04,-13.96,3,367.48,56.0,False
7,DRP,Darling Riverine Plains,106997.7,3.04,-13.96,4,343.23,42.0,False
7,DRP,Darling Riverine Plains,106997.7,3.04,-13.96,5,343.23,14.0,False
8,COP,Cobar Peneplain,73853.5,3.26,-13.74,0,415.98,0.0,False
8,COP,Cobar Peneplain,73853.5,3.26,-13.74,1,440.23,14.0,False
8,COP,Cobar Peneplain,73853.5,3.26,-13.74,2,440.23,42.0,False
8,COP,Cobar Peneplain,73853.5,3.26,-13.74,3,415.98,56.0,False
8,COP,Cobar Peneplain,73853.5,3.26,-13.74,4,391.73,42.0,False
8,COP,Cobar Peneplain,73853.5,3.26,-13.74,5,391.73,14.0,False
9,NSS,NSW South Western Slopes,86810.9,3.34,-13.66,0,464.48,0.0,False
9,NSS,NSW South Western Slopes,86810.9,3.34,-13.66,1,488.73,14.0,False
9,NSS,NSW South Western Slopes,86810.9,3.34,-13.66,2,488.73,42.0,False
9,NSS,NSW South Western Slopes,86810.9,3.34,-13.66,3,464.48,56.0,False
9,NSS,NSW South Western Slopes,86810.9,3.34,-13.66,4,440.23,42.0,False
9,NSS,NSW South Western Slopes,86810.9,3.34,-13.66,5,440.23,14.0,False
10,DEU,Desert Uplands,69411.0,3.37,-13.63,0,512.97,0.0,False
10,DEU,Desert Uplands,69411.0,3.37,-13.63,1,537.22,14.0,False
10,DEU,Desert Uplands,69411.0,3.37,-13.63,2,537.22,42.0,False
10,DEU,Desert Uplands,69411.0,3.37,-13.63,3,512.97,56.0,False
10,DEU,Desert Uplands,69411.0,3.37,-13.63,4,488.73,42.0,False
10,DEU,Desert Uplands,69411.0,3.37,-13.63,5,488.73,14.0,False
11,AVW,Avon Wheatbelt,95171.0,4.47,-12.53,0,561.47,0.0,False
11,AVW,Avon Wheatbelt,95171.0,4.47,-12.53,1,585.72,14.0,False
11,AVW,Avon Wheatbelt,95171.0,4.47,-12.53,2,585.72,42.0,False
11,AVW,Avon Wheatbelt,95171.0,4.47,-12.53,3,561.47,56.0,False
11,AVW,Avon Wheatbelt,95171.0,4.47,-12.53,4,537.22,42.0,False
11,AVW,Avon Wheatbelt,95171.0,4.47,-12.53,5,537.22,14.0,False
12,NAN,Nandewar,27019.6,4.59,-12.41,0,52.25,42.0,False
12,NAN,Nandewar,27019.6,4.59,-12.41,1,76.5,56.0,False
12,NAN,Nandewar,27019.6,4.59,-12.41,2,76.5,84.0,False
12,NAN,Nandewar,27019.6,4.59,-12.41,3,52.25,98.0,False
12,NAN,Nandewar,27019.6,4.59,-12.41,4,28.0,84.0,False
12,NAN,Nandewar,27019.6,4.59,-12.41,5,28.0,56.0,False
13,FIN,Finke,72674.2,4.6,-12.4,0,100.75,42.0,False
13,FIN,Finke,72674.2,4.6,-12.4,1,124.99,56.0,False
13,FIN,Finke,72674.2,4.6,-12.4,2,124.99,84.0,False
13,FIN,Finke,72674.2,4.6,-12.4,3,100.75,98.0,False
13,FIN,Finke,72674.2,4.6,-12.4,4,76.5,84.0,False
13,FIN,Finke,72674.2,4.6,-12.4,5,76.5,56.0,False
14,MUL,Mulga Lands,251883.3,4.97,-12.03,0,149.24,42.0,False
14,MUL,Mulga Lands,251883.3,4.97,-12.03,1,173.49,56.0,False
14,MUL,Mulga Lands,251883.3,4.97,-12.03,2,173.49,84.0,False
14,MUL,Mulga Lands,251883.3,4.97,-12.03,3,149.24,98.0,False
14,MUL,Mulga Lands,251883.3,4.97,-12.03,4,124.99,84.0,False
14,MUL,Mulga Lands,251883.3,4.97,-12.03,5,124.99,56.0,False
15,BBS,Brigalow Belt South,272199.0,5.52,-11.48,0,197.74,42.0,False
15,BBS,Brigalow Belt South,272199.0,5.52,-11.48,1,221.99,56.0,False
15,BBS,Brigalow Belt South,272199.0,5.52,-11.48,2,221.99,84.0,False
15,BBS,Brigalow Belt South,272199.0,5.52,-11.48,3,197.74,98.0,False
15,BBS,Brigalow Belt South,272199.0,5.52,-11.48,4,173.49,84.0,False
15,BBS,Brigalow Belt South,272199.0,5.52,-11.48,5,173.49,56.0,False
16,BHC,Broken Hill Complex,56354.2,5.82,-11.18,0,246.24,42.0,False
16,BHC,Broken Hill Complex,56354.2,5.82,-11.18,1,270.49,56.0,False
16,BHC,Broken Hill Complex,56354.2,5.82,-11.18,2,270.49,84.0,False
16,BHC,Broken Hill Complex,56354.2,5.82,-11.18,3,246.24,98.0,False
16,BHC,Broken Hill Complex,56354.2,5.82,-11.18,4,221.99,84.0,False
16,BHC,Broken Hill Complex,56354.2,5.82,-11.18,5,221.99,56.0,False
17,MII,Mount Isa Inlier,67782.6,6.45,-10.55,0,294.74,42.0,False
17,MII,Mount Isa Inlier,67782.6,6.45,-10.55,1,318.98,56.0,False
17,MII,Mount Isa Inlier,67782.6,6.45,-10.55,2,318.98,84.0,False
17,MII,Mount Isa Inlier,67782.6,6.45,-10.55,3,294.74,98.0,False
17,MII,Mount Isa Inlier,67782.6,6.45,-10.55,4,270.49,84.0,False
17,MII,Mount Isa Inlier,67782.6,6.45,-10.55,5,270.49,56.0,False
18,RIV,Riverina,97045.0,6.47,-10.53,0,343.23,42.0,False
18,RIV,Riverina,97045.0,6.47,-10.53,1,367.48,56.0,False
18,RIV,Riverina,97045.0,6.47,-10.53,2,367.48,84.0,False
18,RIV,Riverina,97045.0,6.47,-10.53,3,343.23,98.0,False
18,RIV,Riverina,97045.0,6.47,-10.53,4,318.98,84.0,False
18,RIV,Riverina,97045.0,6.47,-10.53,5,318.98,56.0,False
19,BRT,Burt Plain,73797.2,6.68,-10.32,0,391.73,42.0,False
19,BRT,Burt Plain,73797.2,6.68,-10.32,1,415.98,56.0,False
19,BRT,Burt Plain,73797.2,6.68,-10.32,2,415.98,84.0,False
19,BRT,Burt Plain,73797.2,6.68,-10.32,3,391.73,98.0,False
19,BRT,Burt Plain,73797.2,6.68,-10.32,4,367.48,84.0,False
19,BRT,Burt Plain,73797.2,6.68,-10.32,5,367.48,56.0,False
20,TNM,Tasmanian Northern Midlands,4154.4,6.74,-10.26,0,440.23,42.0,False
20,TNM,Tasmanian Northern Midlands,4154.4,6.74,-10.26,1,464.48,56.0,False
20,TNM,Tasmanian Northern Midlands,4154.4,6.74,-10.26,2,464.48,84.0,False
20,TNM,Tasmanian Northern Midlands,4154.4,6.74,-10.26,3,440.23,98.0,False
20,TNM,Tasmanian Northern Midlands,4154.4,6.74,-10.26,4,415.98,84.0,False
20,TNM,Tasmanian Northern Midlands,4154.4,6.74,-10.26,5,415.98,56.0,False
21,MUR,Murchison,281205.5,7.0,-10.0,0,488.73,42.0,False
21,MUR,Murchison,281205.5,7.0,-10.0,1,512.97,56.0,False
21,MUR,Murchison,281205.5,7.0,-10.0,2,512.97,84.0,False
21,MUR,Murchison,281205.5,7.0,-10.0,3,488.73,98.0,False
21,MUR,Murchison,281205.5,7.0,-10.0,4,464.48,84.0,False
21,MUR,Murchison,281205.5,7.0,-10.0,5,464.48,56.0,False
22,GUP,Gulf Plains,220418.3,7.46,-9.54,0,537.22,42.0,False
22,GUP,Gulf Plains,220418.3,7.46,-9.54,1,561.47,56.0,False
22,GUP,Gulf Plains,220418.3,7.46,-9.54,2,561.47,84.0,False
22,GUP,Gulf Plains,220418.3,7.46,-9.54,3,537.22,98.0,False
22,GUP,Gulf Plains,220418.3,7.46,-9.54,4,512.97,84.0,False
22,GUP,Gulf Plains,220418.3,7.46,-9.54,5,512.97,56.0,False
23,EIU,Einasleigh Uplands,116257.3,8.06,-8.94,0,585.72,42.0,False
23,EIU,Einasleigh Uplands,116257.3,8.06,-8.94,1,609.97,56.0,False
23,EIU,Einasleigh Uplands,116257.3,8.06,-8.94,2,609.97,84.0,False
23,EIU,Einasleigh Uplands,116257.3,8.06,-8.94,3,585.72,98.0,False
23,EIU,Einasleigh Uplands,116257.3,8.06,-8.94,4,561.47,84.0,False
23,EIU,Einasleigh Uplands,116257.3,8.06,-8.94,5,561.47,56.0,False
24,PIL,Pilbara,178231.3,8.78,-8.22,0,28.0,84.0,False
24,PIL,Pilbara,178231.3,8.78,-8.22,1,52.25,98.0,False
24,PIL,Pilbara,178231.3,8.78,-8.22,2,52.25,126.0,False
24,PIL,Pilbara,178231.3,8.78,-8.22,3,28.0,140.0,False
24,PIL,Pilbara,178231.3,8.78,-8.22,4,3.75,126.0,False
24,PIL,Pilbara,178231.3,8.78,-8.22,5,3.75,98.0,False
25,STP,Stony Plains,131663.7,8.93,-8.07,0,76.5,84.0,False
25,STP,Stony Plains,131663.7,8.93,-8.07,1,100.75,98.0,False
25,STP,Stony Plains,131663.7,8.93,-8.07,2,100.75,126.0,False
25,STP,Stony Plains,131663.7,8.93,-8.07,3,76.5,140.0,False
25,STP,Stony Plains,131663.7,8.93,-8.07,4,52.25,126.0,False
25,STP,Stony Plains,131663.7,8.93,-8.07,5,52.25,98.0,False
26,FLB,Flinders Lofty Block,66157.7,9.11,-7.89,0,124.99,84.0,False
26,FLB,Flinders Lofty Block,66157.7,9.11,-7.89,1,149.24,98.0,False
26,FLB,Flinders Lofty Block,66157.7,9.11,-7.89,2,149.24,126.0,False
26,FLB,Flinders Lofty Block,66157.7,9.11,-7.89,3,124.99,140.0,False
26,FLB,Flinders Lofty Block,66157.7,9.11,-7.89,4,100.75,126.0,False
26,FLB,Flinders Lofty Block,66157.7,9.11,-7.89,5,100.75,98.0,False
27,SCP,South East Coastal Plain,17492.4,9.29,-7.71,0,173.49,84.0,False
27,SCP,South East Coastal Plain,17492.4,9.29,-7.71,1,197.74,98.0,False
27,SCP,South East Coastal Plain,17492.4,9.29,-7.71,2,197.74,126.0,False
27,SCP,South East Coastal Plain,17492.4,9.29,-7.71,3,173.49,140.0,False
27,SCP,South East Coastal Plain,17492.4,9.29,-7.71,4,149.24,126.0,False
27,SCP,South East Coastal Plain,17492.4,9.29,-7.71,5,149.24,98.0,False
28,NCP,Naracoorte Coastal Plain,24582.1,9.67,-7.33,0,221.99,84.0,False
28,NCP,Naracoorte Coastal Plain,24582.1,9.67,-7.33,1,246.24,98.0,False
28,NCP,Naracoorte Coastal Plain,24582.1,9.67,-7.33,2,246.24,126.0,False
28,NCP,Naracoorte Coastal Plain,24582.1,9.67,-7.33,3,221.99,140.0,False
28,NCP,Naracoorte Coastal Plain,24582.1,9.67,-7.33,4,197.74,126.0,False
28,NCP,Naracoorte Coastal Plain,24582.1,9.67,-7.33,5,197.74,98.0,False
29,DAB,Daly Basin,20922.3,10.47,-6.53,0,270.49,84.0,False
29,DAB,Daly Basin,20922.3,10.47,-6.53,1,294.74,98.0,False
29,DAB,Daly Basin,20922.3,10.47,-6.53,2,294.74,126.0,False
29,DAB,Daly Basin,20922.3,10.47,-6.53,3,270.49,140.0,False
29,DAB,Daly Basin,20922.3,10.47,-6.53,4,246.24,126.0,False
29,DAB,Daly Basin,20922.3,10.47,-6.53,5,246.24,98.0,False
30,NET,New England Tablelands,30022.3,10.73,-6.27,0,318.98,84.0,False
30,NET,New England Tablelands,30022.3,10.73,-6.27,1,343.23,98.0,False
30,NET,New England Tablelands,30022.3,10.73,-6.27,2,343.23,126.0,False
30,NET,New England Tablelands,30022.3,10.73,-6.27,3,318.98,140.0,False
30,NET,New England Tablelands,30022.3,10.73,-6.27,4,294.74,126.0,False
30,NET,New England Tablelands,30022.3,10.73,-6.27,5,294.74,98.0,False
31,CHC,Channel Country,304094.4,11.04,-5.96,0,367.48,84.0,False
31,CHC,Channel Country,304094.4,11.04,-5.96,1,391.73,98.0,False
31,CHC,Channel Country,304094.4,11.04,-5.96,2,391.73,126.0,False
31,CHC,Channel Country,304094.4,11.04,-5.96,3,367.48,140.0,False
31,CHC,Channel Country,304094.4,11.04,-5.96,4,343.23,126.0,False
31,CHC,Channel Country,304094.4,11.04,-5.96,5,343.23,98.0,False
32,SWA,Swan Coastal Plain,15258.0,11.56,-5.44,0,415.98,84.0,False
32,SWA,Swan Coastal Plain,15258.0,11.56,-5.44,1,440.23,98.0,False
32,SWA,Swan Coastal Plain,15258.0,11.56,-5.44,2,440.23,126.0,False
32,SWA,Swan Coastal Plain,15258.0,11.56,-5.44,3,415.98,140.0,False
32,SWA,Swan Coastal Plain,15258.0,11.56,-5.44,4,391.73,126.0,False
32,SWA,Swan Coastal Plain,15258.0,11.56,-5.44,5,391.73,98.0,False
33,VIM,Victorian Midlands,34697.9,11.64,-5.36,0,464.48,84.0,False
33,VIM,Victorian Midlands,34697.9,11.64,-5.36,1,488.73,98.0,False
33,VIM,Victorian Midlands,34697.9,11.64,-5.36,2,488.73,126.0,False
33,VIM,Victorian Midlands,34697.9,11.64,-5.36,3,464.48,140.0,False
33,VIM,Victorian Midlands,34697.9,11.64,-5.36,4,440.23,126.0,False
