bioregion,species,protected_pct,priority
Sydney Basin,892,9.8,High
NSW South Western Slopes,734,6.2,High
South Eastern Highlands,651,12.4,Medium
Victorian Midlands,528,4.1,High
Tasmanian Southern Ranges,412,72.8,Low
Australian Alps,387,82.4,Low
Brigalow Belt South,756,6.4,High
South Eastern Queensland,687,11.6,Medium
Flinders Lofty Block,456,18.2,Low
Central Ranges,234,42.5,Low
Arnhem Coast,378,35.6,Low
Swan Coastal Plain,612,4.2,High
Gondwana Rainforests,523,58.3,Low
Nullarbor,89,45.2,Low
Great Sandy Desert,67,38.7,Low
