lga,protected_pct,area_sqkm,tier
Alpine,82.4,4782,>30%
East Gippsland,58.3,20940,>30%
Mansfield,52.7,3399,>30%
Murrindindi,48.5,3882,>30%
Wellington,42.1,10989,>30%
Towong,40.8,6676,>30%
Indigo,19.2,2040,10-30%
Mitchell,17.5,2862,10-30%
Yarra Ranges,16.8,2468,10-30%
Macedon Ranges,12.4,1748,10-30%
Cardinia,10.2,1283,10-30%
Baw Baw,9.8,4028,5-10%
South Gippsland,8.5,3305,5-10%
Strathbogie,7.3,3302,5-10%
Glenelg,6.2,6212,5-10%
Southern Grampians,5.8,6655,5-10%
Colac Otway,5.4,3438,5-10%
Moyne,3.2,5482,1-5%
Corangamite,2.8,4406,1-5%
Surf Coast,2.1,1553,1-5%
Hepburn,1.9,1463,1-5%
Mount Alexander,1.5,1532,1-5%
Ballarat,0.8,740,<1%
Greater Geelong,0.6,1247,<1%
Melbourne,0.4,38,<1%
Port Phillip,0.2,21,<1%
Yarra,0.2,20,<1%
Moreland,0.1,51,<1%
Darebin,0.1,54,<1%
Hobsons Bay,0.1,65,<1%
